,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,split
TCGA-E9-A5UO,2.159511214371259,2.4414359046169523,1.266790357194158,-1.6350949365295884,-2.934741396369588,2.4999292090507548,-1.986124265792337,-0.9867567123980967,0.48157601700552605,-0.508872062556165,test
TCGA-BH-A1FN,-2.3339567087775257,-0.8248113809275432,-0.3546484704110795,2.8154012641038206,-0.022990643998094102,-0.08888699707579771,0.6875467555519301,0.21535687498106695,0.04847177899864391,-0.22047268951272392,test
TCGA-D8-A1JI,1.8046045303344727,3.6587893962860107,2.0817692279815674,-2.378514289855957,-2.807741165161133,3.087533950805664,-5.103504180908203,-1.2654082775115967,0.27327173948287964,-1.3985756635665894,train
TCGA-E9-A2JS,3.8036978244781494,0.3656415045261383,1.0820783376693726,-2.2431907653808594,-2.1408605575561523,1.5801267623901367,3.635301113128662,-0.5339788794517517,1.9757111072540283,0.18044604361057281,train
TCGA-S3-AA17,2.1620421409606934,1.0042657852172852,1.8427964448928833,-2.4226770401000977,6.174065589904785,1.0707008838653564,2.831766128540039,-0.6168007254600525,-0.2275063842535019,-1.2839432954788208,train
TCGA-AO-A03N,1.3875451048028733,0.9093972114925192,0.8084793907698574,-1.7893523643116207,-1.3851599067392588,-1.4537679943721276,-1.5020275175975062,0.2724938374416683,0.03929069188364139,0.2988681515662042,test
TCGA-GM-A2DO,-0.5394068956375122,0.6230217218399048,1.6109910011291504,-2.146135091781616,5.472997665405273,1.7323634624481201,-0.47201746702194214,-0.592225193977356,1.3958135843276978,-1.918614387512207,train
TCGA-C8-A1HL,1.6957915644343007,1.2459290636778162,1.102273077007728,-1.6556294248441752,-1.084261358874378,0.1664243689416247,-2.740218707316535,-0.8514599767084868,0.812896470898336,0.7335061219593187,test
TCGA-AR-A250,3.5970537662506104,0.06114678084850311,-0.6486197710037231,-2.2672207355499268,1.0866037607192993,-0.2752002477645874,0.8083765506744385,-0.18535378575325012,1.192342758178711,0.12959545850753784,train
TCGA-AR-A0TV,3.2588489055633545,0.8724629282951355,0.3967491090297699,-3.859804630279541,2.743239402770996,2.074517011642456,1.1706185340881348,-1.8123688697814941,-1.0855659246444702,-0.5351795554161072,train
TCGA-C8-A27A,2.107867213981771,-0.29912271651306394,1.0775880769757695,-2.113626122118689,-1.334461343544459,2.5997288799733096,-1.5225461489901002,-1.02368929951837,2.5226668740447287,1.1608086641851025,test
TCGA-E9-A22E,-1.616205096244812,0.6650413870811462,-0.1309608370065689,-1.6934829950332642,-0.1386016607284546,-1.2618825435638428,-3.143557548522949,-1.2620930671691895,-0.5196733474731445,0.6022400259971619,train
TCGA-D8-A1JC,0.2863787114620209,0.5011022686958313,1.9324709177017212,-1.7360056638717651,-0.4820134937763214,0.4415256679058075,-5.152277946472168,0.25458279252052307,2.263482093811035,0.6105940937995911,train
TCGA-AR-A0U2,1.980694055557251,-0.5791791081428528,-5.107790946960449,-2.9218101501464844,-0.9130117297172546,1.4494682550430298,-2.8994998931884766,-1.6358039379119873,2.919121265411377,1.4151010513305664,train
